exp_id,city,latitude,longitude,date_local,snapshot_start_fixed,snapshot_end_fixed,snapshot_text,prompt_text,model,thread_off_name,thread_on_name,datetime_pred_off_utc,datetime_pred_on_utc,off_json_raw,on_json_raw,baseline_provider,baseline_run_datetime_utc,baseline_tmax,baseline_precip_sum,baseline_precip_prob_max,obs_run_datetime_utc,obs_tmax,obs_precip_sum,obs_rain_gt0
WEATHER_London_2025-12-18,London,51.50853,-0.12574,2025-12-18,2025-12-10,2025-12-16,"- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C","Donne une prévision probabiliste pour la journée suivante.
Réponds UNIQUEMENT en JSON strict avec les champs:
tmax_p10, tmax_p50, tmax_p90 (°C),
p_rain_gt0 (0-1),
rain_p50, rain_p90 (mm),
justification (2 phrases max).

Ville: London
Date (locale): 2025-12-18

Snapshot observations (7 derniers jours complets disponibles à J0=2025-12-17):
- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C

À prédire pour le jour 2025-12-18:
- Tmax (°C): quantiles P10/P50/P90
- Pluie (mm): p(pluie>0), P50 et P90 de precipitation_sum

Deadline: 2025-12-18 23:59 (heure locale)
",GPT-5.2 (reasoning=ON),Forecasting Study — Weather — Web OFF,Forecasting Study — Weather — Web ON,,,,,Open-Meteo Forecast API,2025-12-17T13:54:39.341733+00:00,12.0,15.3,98.0,,,,
WEATHER_London_2025-12-19,London,51.50853,-0.12574,2025-12-19,2025-12-10,2025-12-16,"- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C","Donne une prévision probabiliste pour la journée suivante.
Réponds UNIQUEMENT en JSON strict avec les champs:
tmax_p10, tmax_p50, tmax_p90 (°C),
p_rain_gt0 (0-1),
rain_p50, rain_p90 (mm),
justification (2 phrases max).

Ville: London
Date (locale): 2025-12-19

Snapshot observations (7 derniers jours complets disponibles à J0=2025-12-17):
- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C

À prédire pour le jour 2025-12-19:
- Tmax (°C): quantiles P10/P50/P90
- Pluie (mm): p(pluie>0), P50 et P90 de precipitation_sum

Deadline: 2025-12-19 23:59 (heure locale)
",GPT-5.2 (reasoning=ON),Forecasting Study — Weather — Web OFF,Forecasting Study — Weather — Web ON,,,,,Open-Meteo Forecast API,2025-12-17T13:54:39.341733+00:00,11.6,0.0,15.0,,,,
WEATHER_London_2025-12-20,London,51.50853,-0.12574,2025-12-20,2025-12-10,2025-12-16,"- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C","Donne une prévision probabiliste pour la journée suivante.
Réponds UNIQUEMENT en JSON strict avec les champs:
tmax_p10, tmax_p50, tmax_p90 (°C),
p_rain_gt0 (0-1),
rain_p50, rain_p90 (mm),
justification (2 phrases max).

Ville: London
Date (locale): 2025-12-20

Snapshot observations (7 derniers jours complets disponibles à J0=2025-12-17):
- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C

À prédire pour le jour 2025-12-20:
- Tmax (°C): quantiles P10/P50/P90
- Pluie (mm): p(pluie>0), P50 et P90 de precipitation_sum

Deadline: 2025-12-20 23:59 (heure locale)
",GPT-5.2 (reasoning=ON),Forecasting Study — Weather — Web OFF,Forecasting Study — Weather — Web ON,,,,,Open-Meteo Forecast API,2025-12-17T13:54:39.341733+00:00,9.0,0.0,16.0,,,,
WEATHER_London_2025-12-21,London,51.50853,-0.12574,2025-12-21,2025-12-10,2025-12-16,"- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C","Donne une prévision probabiliste pour la journée suivante.
Réponds UNIQUEMENT en JSON strict avec les champs:
tmax_p10, tmax_p50, tmax_p90 (°C),
p_rain_gt0 (0-1),
rain_p50, rain_p90 (mm),
justification (2 phrases max).

Ville: London
Date (locale): 2025-12-21

Snapshot observations (7 derniers jours complets disponibles à J0=2025-12-17):
- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C

À prédire pour le jour 2025-12-21:
- Tmax (°C): quantiles P10/P50/P90
- Pluie (mm): p(pluie>0), P50 et P90 de precipitation_sum

Deadline: 2025-12-21 23:59 (heure locale)
",GPT-5.2 (reasoning=ON),Forecasting Study — Weather — Web OFF,Forecasting Study — Weather — Web ON,,,,,Open-Meteo Forecast API,2025-12-17T13:54:39.341733+00:00,9.1,1.1,23.0,,,,
WEATHER_London_2025-12-22,London,51.50853,-0.12574,2025-12-22,2025-12-10,2025-12-16,"- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C","Donne une prévision probabiliste pour la journée suivante.
Réponds UNIQUEMENT en JSON strict avec les champs:
tmax_p10, tmax_p50, tmax_p90 (°C),
p_rain_gt0 (0-1),
rain_p50, rain_p90 (mm),
justification (2 phrases max).

Ville: London
Date (locale): 2025-12-22

Snapshot observations (7 derniers jours complets disponibles à J0=2025-12-17):
- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C

À prédire pour le jour 2025-12-22:
- Tmax (°C): quantiles P10/P50/P90
- Pluie (mm): p(pluie>0), P50 et P90 de precipitation_sum

Deadline: 2025-12-22 23:59 (heure locale)
",GPT-5.2 (reasoning=ON),Forecasting Study — Weather — Web OFF,Forecasting Study — Weather — Web ON,,,,,Open-Meteo Forecast API,2025-12-17T13:54:39.341733+00:00,9.8,0.1,18.0,,,,
WEATHER_London_2025-12-23,London,51.50853,-0.12574,2025-12-23,2025-12-10,2025-12-16,"- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C","Donne une prévision probabiliste pour la journée suivante.
Réponds UNIQUEMENT en JSON strict avec les champs:
tmax_p10, tmax_p50, tmax_p90 (°C),
p_rain_gt0 (0-1),
rain_p50, rain_p90 (mm),
justification (2 phrases max).

Ville: London
Date (locale): 2025-12-23

Snapshot observations (7 derniers jours complets disponibles à J0=2025-12-17):
- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C

À prédire pour le jour 2025-12-23:
- Tmax (°C): quantiles P10/P50/P90
- Pluie (mm): p(pluie>0), P50 et P90 de precipitation_sum

Deadline: 2025-12-23 23:59 (heure locale)
",GPT-5.2 (reasoning=ON),Forecasting Study — Weather — Web OFF,Forecasting Study — Weather — Web ON,,,,,Open-Meteo Forecast API,2025-12-17T13:54:39.341733+00:00,7.2,0.0,13.0,,,,
WEATHER_London_2025-12-24,London,51.50853,-0.12574,2025-12-24,2025-12-10,2025-12-16,"- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C","Donne une prévision probabiliste pour la journée suivante.
Réponds UNIQUEMENT en JSON strict avec les champs:
tmax_p10, tmax_p50, tmax_p90 (°C),
p_rain_gt0 (0-1),
rain_p50, rain_p90 (mm),
justification (2 phrases max).

Ville: London
Date (locale): 2025-12-24

Snapshot observations (7 derniers jours complets disponibles à J0=2025-12-17):
- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C

À prédire pour le jour 2025-12-24:
- Tmax (°C): quantiles P10/P50/P90
- Pluie (mm): p(pluie>0), P50 et P90 de precipitation_sum

Deadline: 2025-12-24 23:59 (heure locale)
",GPT-5.2 (reasoning=ON),Forecasting Study — Weather — Web OFF,Forecasting Study — Weather — Web ON,,,,,Open-Meteo Forecast API,2025-12-17T13:54:39.341733+00:00,8.5,0.0,22.0,,,,
WEATHER_Lyon_2025-12-18,Lyon,45.74846,4.84671,2025-12-18,2025-12-10,2025-12-16,"- 2025-12-10: precip_sum=0.00 mm, tmax=14.6 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.8 °C
- 2025-12-12: precip_sum=0.00 mm, tmax=12.7 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=7.6 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=7.0 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=13.8 °C
- 2025-12-16: precip_sum=2.10 mm, tmax=11.6 °C","Donne une prévision probabiliste pour la journée suivante.
Réponds UNIQUEMENT en JSON strict avec les champs:
tmax_p10, tmax_p50, tmax_p90 (°C),
p_rain_gt0 (0-1),
rain_p50, rain_p90 (mm),
justification (2 phrases max).

Ville: Lyon
Date (locale): 2025-12-18

Snapshot observations (7 derniers jours complets disponibles à J0=2025-12-17):
- 2025-12-10: precip_sum=0.00 mm, tmax=14.6 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.8 °C
- 2025-12-12: precip_sum=0.00 mm, tmax=12.7 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=7.6 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=7.0 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=13.8 °C
- 2025-12-16: precip_sum=2.10 mm, tmax=11.6 °C

À prédire pour le jour 2025-12-18:
- Tmax (°C): quantiles P10/P50/P90
- Pluie (mm): p(pluie>0), P50 et P90 de precipitation_sum

Deadline: 2025-12-18 23:59 (heure locale)
",GPT-5.2 (reasoning=ON),Forecasting Study — Weather — Web OFF,Forecasting Study — Weather — Web ON,,,,,Open-Meteo Forecast API,2025-12-17T13:54:39.341733+00:00,14.6,0.0,0.0,,,,
WEATHER_Lyon_2025-12-19,Lyon,45.74846,4.84671,2025-12-19,2025-12-10,2025-12-16,"- 2025-12-10: precip_sum=0.00 mm, tmax=14.6 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.8 °C
- 2025-12-12: precip_sum=0.00 mm, tmax=12.7 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=7.6 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=7.0 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=13.8 °C
- 2025-12-16: precip_sum=2.10 mm, tmax=11.6 °C","Donne une prévision probabiliste pour la journée suivante.
Réponds UNIQUEMENT en JSON strict avec les champs:
tmax_p10, tmax_p50, tmax_p90 (°C),
p_rain_gt0 (0-1),
rain_p50, rain_p90 (mm),
justification (2 phrases max).

Ville: Lyon
Date (locale): 2025-12-19

Snapshot observations (7 derniers jours complets disponibles à J0=2025-12-17):
- 2025-12-10: precip_sum=0.00 mm, tmax=14.6 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.8 °C
- 2025-12-12: precip_sum=0.00 mm, tmax=12.7 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=7.6 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=7.0 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=13.8 °C
- 2025-12-16: precip_sum=2.10 mm, tmax=11.6 °C

À prédire pour le jour 2025-12-19:
- Tmax (°C): quantiles P10/P50/P90
- Pluie (mm): p(pluie>0), P50 et P90 de precipitation_sum

Deadline: 2025-12-19 23:59 (heure locale)
",GPT-5.2 (reasoning=ON),Forecasting Study — Weather — Web OFF,Forecasting Study — Weather — Web ON,,,,,Open-Meteo Forecast API,2025-12-17T13:54:39.341733+00:00,14.6,3.9,55.0,,,,
WEATHER_Lyon_2025-12-20,Lyon,45.74846,4.84671,2025-12-20,2025-12-10,2025-12-16,"- 2025-12-10: precip_sum=0.00 mm, tmax=14.6 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.8 °C
- 2025-12-12: precip_sum=0.00 mm, tmax=12.7 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=7.6 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=7.0 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=13.8 °C
- 2025-12-16: precip_sum=2.10 mm, tmax=11.6 °C","Donne une prévision probabiliste pour la journée suivante.
Réponds UNIQUEMENT en JSON strict avec les champs:
tmax_p10, tmax_p50, tmax_p90 (°C),
p_rain_gt0 (0-1),
rain_p50, rain_p90 (mm),
justification (2 phrases max).

Ville: Lyon
Date (locale): 2025-12-20

Snapshot observations (7 derniers jours complets disponibles à J0=2025-12-17):
- 2025-12-10: precip_sum=0.00 mm, tmax=14.6 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.8 °C
- 2025-12-12: precip_sum=0.00 mm, tmax=12.7 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=7.6 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=7.0 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=13.8 °C
- 2025-12-16: precip_sum=2.10 mm, tmax=11.6 °C

À prédire pour le jour 2025-12-20:
- Tmax (°C): quantiles P10/P50/P90
- Pluie (mm): p(pluie>0), P50 et P90 de precipitation_sum

Deadline: 2025-12-20 23:59 (heure locale)
",GPT-5.2 (reasoning=ON),Forecasting Study — Weather — Web OFF,Forecasting Study — Weather — Web ON,,,,,Open-Meteo Forecast API,2025-12-17T13:54:39.341733+00:00,14.4,10.4,63.0,,,,
WEATHER_Lyon_2025-12-21,Lyon,45.74846,4.84671,2025-12-21,2025-12-10,2025-12-16,"- 2025-12-10: precip_sum=0.00 mm, tmax=14.6 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.8 °C
- 2025-12-12: precip_sum=0.00 mm, tmax=12.7 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=7.6 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=7.0 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=13.8 °C
- 2025-12-16: precip_sum=2.10 mm, tmax=11.6 °C","Donne une prévision probabiliste pour la journée suivante.
Réponds UNIQUEMENT en JSON strict avec les champs:
tmax_p10, tmax_p50, tmax_p90 (°C),
p_rain_gt0 (0-1),
rain_p50, rain_p90 (mm),
justification (2 phrases max).

Ville: Lyon
Date (locale): 2025-12-21

Snapshot observations (7 derniers jours complets disponibles à J0=2025-12-17):
- 2025-12-10: precip_sum=0.00 mm, tmax=14.6 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.8 °C
- 2025-12-12: precip_sum=0.00 mm, tmax=12.7 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=7.6 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=7.0 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=13.8 °C
- 2025-12-16: precip_sum=2.10 mm, tmax=11.6 °C

À prédire pour le jour 2025-12-21:
- Tmax (°C): quantiles P10/P50/P90
- Pluie (mm): p(pluie>0), P50 et P90 de precipitation_sum

Deadline: 2025-12-21 23:59 (heure locale)
",GPT-5.2 (reasoning=ON),Forecasting Study — Weather — Web OFF,Forecasting Study — Weather — Web ON,,,,,Open-Meteo Forecast API,2025-12-17T13:54:39.341733+00:00,12.6,1.7,44.0,,,,
