city,date_local,target,snapshot_start,snapshot_end,prompt_text,web_mode,latitude,longitude,snapshot_start_fixed,snapshot_end_fixed,snapshot_text
London,2025-12-18,BOTH,2025-12-11,2025-12-17,"Donne une prévision probabiliste pour la journée suivante.
Réponds UNIQUEMENT en JSON strict avec les champs:
tmax_p10, tmax_p50, tmax_p90 (°C),
p_rain_gt0 (0-1),
rain_p50, rain_p90 (mm),
justification (2 phrases max).

Ville: London
Date (locale): 2025-12-18

Snapshot observations (7 derniers jours complets disponibles à J0=2025-12-17):
- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C

À prédire pour le jour 2025-12-18:
- Tmax (°C): quantiles P10/P50/P90
- Pluie (mm): p(pluie>0), P50 et P90 de precipitation_sum

Deadline: 2025-12-18 23:59 (heure locale)
",,51.50853,-0.12574,2025-12-10,2025-12-16,"- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C"
London,2025-12-19,BOTH,2025-12-12,2025-12-18,"Donne une prévision probabiliste pour la journée suivante.
Réponds UNIQUEMENT en JSON strict avec les champs:
tmax_p10, tmax_p50, tmax_p90 (°C),
p_rain_gt0 (0-1),
rain_p50, rain_p90 (mm),
justification (2 phrases max).

Ville: London
Date (locale): 2025-12-19

Snapshot observations (7 derniers jours complets disponibles à J0=2025-12-17):
- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C

À prédire pour le jour 2025-12-19:
- Tmax (°C): quantiles P10/P50/P90
- Pluie (mm): p(pluie>0), P50 et P90 de precipitation_sum

Deadline: 2025-12-19 23:59 (heure locale)
",,51.50853,-0.12574,2025-12-10,2025-12-16,"- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C"
London,2025-12-20,BOTH,2025-12-13,2025-12-19,"Donne une prévision probabiliste pour la journée suivante.
Réponds UNIQUEMENT en JSON strict avec les champs:
tmax_p10, tmax_p50, tmax_p90 (°C),
p_rain_gt0 (0-1),
rain_p50, rain_p90 (mm),
justification (2 phrases max).

Ville: London
Date (locale): 2025-12-20

Snapshot observations (7 derniers jours complets disponibles à J0=2025-12-17):
- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C

À prédire pour le jour 2025-12-20:
- Tmax (°C): quantiles P10/P50/P90
- Pluie (mm): p(pluie>0), P50 et P90 de precipitation_sum

Deadline: 2025-12-20 23:59 (heure locale)
",,51.50853,-0.12574,2025-12-10,2025-12-16,"- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C"
London,2025-12-21,BOTH,2025-12-14,2025-12-20,"Donne une prévision probabiliste pour la journée suivante.
Réponds UNIQUEMENT en JSON strict avec les champs:
tmax_p10, tmax_p50, tmax_p90 (°C),
p_rain_gt0 (0-1),
rain_p50, rain_p90 (mm),
justification (2 phrases max).

Ville: London
Date (locale): 2025-12-21

Snapshot observations (7 derniers jours complets disponibles à J0=2025-12-17):
- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C

À prédire pour le jour 2025-12-21:
- Tmax (°C): quantiles P10/P50/P90
- Pluie (mm): p(pluie>0), P50 et P90 de precipitation_sum

Deadline: 2025-12-21 23:59 (heure locale)
",,51.50853,-0.12574,2025-12-10,2025-12-16,"- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C"
London,2025-12-22,BOTH,2025-12-15,2025-12-21,"Donne une prévision probabiliste pour la journée suivante.
Réponds UNIQUEMENT en JSON strict avec les champs:
tmax_p10, tmax_p50, tmax_p90 (°C),
p_rain_gt0 (0-1),
rain_p50, rain_p90 (mm),
justification (2 phrases max).

Ville: London
Date (locale): 2025-12-22

Snapshot observations (7 derniers jours complets disponibles à J0=2025-12-17):
- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C

À prédire pour le jour 2025-12-22:
- Tmax (°C): quantiles P10/P50/P90
- Pluie (mm): p(pluie>0), P50 et P90 de precipitation_sum

Deadline: 2025-12-22 23:59 (heure locale)
",,51.50853,-0.12574,2025-12-10,2025-12-16,"- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C"
London,2025-12-23,BOTH,2025-12-16,2025-12-22,"Donne une prévision probabiliste pour la journée suivante.
Réponds UNIQUEMENT en JSON strict avec les champs:
tmax_p10, tmax_p50, tmax_p90 (°C),
p_rain_gt0 (0-1),
rain_p50, rain_p90 (mm),
justification (2 phrases max).

Ville: London
Date (locale): 2025-12-23

Snapshot observations (7 derniers jours complets disponibles à J0=2025-12-17):
- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C

À prédire pour le jour 2025-12-23:
- Tmax (°C): quantiles P10/P50/P90
- Pluie (mm): p(pluie>0), P50 et P90 de precipitation_sum

Deadline: 2025-12-23 23:59 (heure locale)
",,51.50853,-0.12574,2025-12-10,2025-12-16,"- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C"
London,2025-12-24,BOTH,2025-12-17,2025-12-23,"Donne une prévision probabiliste pour la journée suivante.
Réponds UNIQUEMENT en JSON strict avec les champs:
tmax_p10, tmax_p50, tmax_p90 (°C),
p_rain_gt0 (0-1),
rain_p50, rain_p90 (mm),
justification (2 phrases max).

Ville: London
Date (locale): 2025-12-24

Snapshot observations (7 derniers jours complets disponibles à J0=2025-12-17):
- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C

À prédire pour le jour 2025-12-24:
- Tmax (°C): quantiles P10/P50/P90
- Pluie (mm): p(pluie>0), P50 et P90 de precipitation_sum

Deadline: 2025-12-24 23:59 (heure locale)
",,51.50853,-0.12574,2025-12-10,2025-12-16,"- 2025-12-10: precip_sum=0.00 mm, tmax=12.8 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.6 °C
- 2025-12-12: precip_sum=0.20 mm, tmax=12.1 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=9.1 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=10.4 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=11.3 °C
- 2025-12-16: precip_sum=4.50 mm, tmax=11.4 °C"
Lyon,2025-12-18,BOTH,2025-12-11,2025-12-17,"Donne une prévision probabiliste pour la journée suivante.
Réponds UNIQUEMENT en JSON strict avec les champs:
tmax_p10, tmax_p50, tmax_p90 (°C),
p_rain_gt0 (0-1),
rain_p50, rain_p90 (mm),
justification (2 phrases max).

Ville: Lyon
Date (locale): 2025-12-18

Snapshot observations (7 derniers jours complets disponibles à J0=2025-12-17):
- 2025-12-10: precip_sum=0.00 mm, tmax=14.6 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.8 °C
- 2025-12-12: precip_sum=0.00 mm, tmax=12.7 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=7.6 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=7.0 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=13.8 °C
- 2025-12-16: precip_sum=2.10 mm, tmax=11.6 °C

À prédire pour le jour 2025-12-18:
- Tmax (°C): quantiles P10/P50/P90
- Pluie (mm): p(pluie>0), P50 et P90 de precipitation_sum

Deadline: 2025-12-18 23:59 (heure locale)
",,45.74846,4.84671,2025-12-10,2025-12-16,"- 2025-12-10: precip_sum=0.00 mm, tmax=14.6 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.8 °C
- 2025-12-12: precip_sum=0.00 mm, tmax=12.7 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=7.6 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=7.0 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=13.8 °C
- 2025-12-16: precip_sum=2.10 mm, tmax=11.6 °C"
Lyon,2025-12-19,BOTH,2025-12-12,2025-12-18,"Donne une prévision probabiliste pour la journée suivante.
Réponds UNIQUEMENT en JSON strict avec les champs:
tmax_p10, tmax_p50, tmax_p90 (°C),
p_rain_gt0 (0-1),
rain_p50, rain_p90 (mm),
justification (2 phrases max).

Ville: Lyon
Date (locale): 2025-12-19

Snapshot observations (7 derniers jours complets disponibles à J0=2025-12-17):
- 2025-12-10: precip_sum=0.00 mm, tmax=14.6 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.8 °C
- 2025-12-12: precip_sum=0.00 mm, tmax=12.7 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=7.6 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=7.0 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=13.8 °C
- 2025-12-16: precip_sum=2.10 mm, tmax=11.6 °C

À prédire pour le jour 2025-12-19:
- Tmax (°C): quantiles P10/P50/P90
- Pluie (mm): p(pluie>0), P50 et P90 de precipitation_sum

Deadline: 2025-12-19 23:59 (heure locale)
",,45.74846,4.84671,2025-12-10,2025-12-16,"- 2025-12-10: precip_sum=0.00 mm, tmax=14.6 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.8 °C
- 2025-12-12: precip_sum=0.00 mm, tmax=12.7 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=7.6 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=7.0 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=13.8 °C
- 2025-12-16: precip_sum=2.10 mm, tmax=11.6 °C"
Lyon,2025-12-20,BOTH,2025-12-13,2025-12-19,"Donne une prévision probabiliste pour la journée suivante.
Réponds UNIQUEMENT en JSON strict avec les champs:
tmax_p10, tmax_p50, tmax_p90 (°C),
p_rain_gt0 (0-1),
rain_p50, rain_p90 (mm),
justification (2 phrases max).

Ville: Lyon
Date (locale): 2025-12-20

Snapshot observations (7 derniers jours complets disponibles à J0=2025-12-17):
- 2025-12-10: precip_sum=0.00 mm, tmax=14.6 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.8 °C
- 2025-12-12: precip_sum=0.00 mm, tmax=12.7 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=7.6 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=7.0 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=13.8 °C
- 2025-12-16: precip_sum=2.10 mm, tmax=11.6 °C

À prédire pour le jour 2025-12-20:
- Tmax (°C): quantiles P10/P50/P90
- Pluie (mm): p(pluie>0), P50 et P90 de precipitation_sum

Deadline: 2025-12-20 23:59 (heure locale)
",,45.74846,4.84671,2025-12-10,2025-12-16,"- 2025-12-10: precip_sum=0.00 mm, tmax=14.6 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.8 °C
- 2025-12-12: precip_sum=0.00 mm, tmax=12.7 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=7.6 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=7.0 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=13.8 °C
- 2025-12-16: precip_sum=2.10 mm, tmax=11.6 °C"
Lyon,2025-12-21,BOTH,2025-12-14,2025-12-20,"Donne une prévision probabiliste pour la journée suivante.
Réponds UNIQUEMENT en JSON strict avec les champs:
tmax_p10, tmax_p50, tmax_p90 (°C),
p_rain_gt0 (0-1),
rain_p50, rain_p90 (mm),
justification (2 phrases max).

Ville: Lyon
Date (locale): 2025-12-21

Snapshot observations (7 derniers jours complets disponibles à J0=2025-12-17):
- 2025-12-10: precip_sum=0.00 mm, tmax=14.6 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.8 °C
- 2025-12-12: precip_sum=0.00 mm, tmax=12.7 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=7.6 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=7.0 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=13.8 °C
- 2025-12-16: precip_sum=2.10 mm, tmax=11.6 °C

À prédire pour le jour 2025-12-21:
- Tmax (°C): quantiles P10/P50/P90
- Pluie (mm): p(pluie>0), P50 et P90 de precipitation_sum

Deadline: 2025-12-21 23:59 (heure locale)
",,45.74846,4.84671,2025-12-10,2025-12-16,"- 2025-12-10: precip_sum=0.00 mm, tmax=14.6 °C
- 2025-12-11: precip_sum=0.00 mm, tmax=11.8 °C
- 2025-12-12: precip_sum=0.00 mm, tmax=12.7 °C
- 2025-12-13: precip_sum=0.00 mm, tmax=7.6 °C
- 2025-12-14: precip_sum=0.00 mm, tmax=7.0 °C
- 2025-12-15: precip_sum=0.00 mm, tmax=13.8 °C
- 2025-12-16: precip_sum=2.10 mm, tmax=11.6 °C"
